salt,fresh_tex,salt_tex,PI
200,0,80,-0.89
200,0,80,-0.957528958
200,0,80,-0.183856502
200,0,80,0.021538462
200,0,80,-0.333333333
200,0,220,-0.885714286
200,0,220,-0.716157205
200,0,220,0.209393346
200,0,220,-0.457330416
200,0,220,-0.987878788
200,0,400,-0.949771689
200,0,400,-0.876106195
200,0,400,-0.748837209
200,0,400,-0.176895307
200,0,400,-0.263157895
200,0,0,-0.994666667
200,0,0,-0.976470588
200,0,0,-0.56
200,0,0,-0.826086957
200,0,0,-0.620320856
100,0,80,-0.2775
100,0,80,0.388349515
100,0,80,0.858638743
100,0,80,0.783783784
100,0,80,0.383084577
100,0,220,0.517241379
100,0,220,0.00203666
100,0,220,0.245478036
100,0,220,0.23715415
100,0,220,0.316129032
100,0,400,-0.35483871
100,0,400,0.52244898
100,0,400,-0.457013575
100,0,400,0.271758437
100,0,400,0.835095137
100,0,0,-0.353689567
100,0,0,0.080078125
100,0,0,-0.397196262
100,0,0,-0.075555556
100,0,0,-0.026252983