plate,microns_left,microns_right,right_no_mid,left_no_mid,middle_right,middle_left,midline_only,PI_with_mid,PI_without_mid,middle_proportion
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80vP220_s1,190,68,124,297,5,58,0,0.466942149,0.410926366,0.130165289
80vP220_s2,190,68,181,184,19,77,0,0.132321041,0.008219178,0.20824295
80vP220_s3,190,68,28,360,11,97,0,0.842741935,0.855670103,0.217741935
80vP220_s4,190,68,216,801,15,75,0,0.582655827,0.575221239,0.081300813
80vP220_s5,190,68,7,212,20,24,0,0.794676806,0.936073059,0.16730038
80vP400_s1,190,35,24,447,0,80,0,0.912885662,0.898089172,0.145190563
80vP400_s2,190,35,13,361,3,54,0,0.92575406,0.930481283,0.13225058
80vP400_s3,190,35,108,203,22,82,0,0.373493976,0.305466238,0.25060241
80vP400_s4,190,35,16,219,19,45,0,0.765886288,0.863829787,0.214046823
80vP400_s5,190,35,17,300,40,53,0,0.72195122,0.892744479,0.226829268
80vS_s1,190,0,57,356,26,55,0,0.663967611,0.723970944,0.163967611
80vS_s2,190,0,68,347,7,62,0,0.690082645,0.672289157,0.142561983
80vS_s3,190,0,90,464,3,58,0,0.697560976,0.675090253,0.099186992
80vS_s4,190,0,15,293,14,55,0,0.846153846,0.902597403,0.183023873
80vS_s5,190,0,7,212,1,38,0,0.937984496,0.936073059,0.151162791
P220vP400_s1,68,35,166,259,31,70,0,0.25095057,0.218823529,0.192015209
P220vP400_s2,68,35,121,302,44,67,0,0.382022472,0.427895981,0.207865169
P220vP400_s3,68,35,148,203,30,43,0,0.160377358,0.156695157,0.172169811
P220vP400_s4,68,35,186,241,53,37,0,0.075435203,0.128805621,0.174081238
P220vP400_s5,68,35,176,240,40,47,0,0.141153082,0.153846154,0.172962227
P220vS_s1,68,0,105,307,13,60,0,0.513402062,0.490291262,0.150515464
P220vS_s2,68,0,81,341,5,97,0,0.671755725,0.616113744,0.194656489
P220vS_s3,68,0,15,256,16,18,0,0.796721311,0.889298893,0.11147541
P220vS_s4,68,0,80,263,17,61,0,0.539192399,0.533527697,0.185273159
P220vS_s5,68,0,50,158,1,69,0,0.633093525,0.519230769,0.251798561
P400vS_s1,35,0,131,168,26,77,0,0.218905473,0.123745819,0.256218905
P400vS_s2,35,0,145,175,22,54,0,0.156565657,0.09375,0.191919192
P400vS_s3,35,0,54,128,21,52,1,0.411764706,0.406593407,0.28627451
P400vS_s4,35,0,147,191,41,15,0,0.045685279,0.130177515,0.14213198
P400vS_s5,35,0,25,45,34,18,0,0.032786885,0.285714286,0.426229508
SvS_s1,0,0,174,149,7,49,0,0.044854881,-0.077399381,0.147757256
SvS_s2,0,0,190,204,83,60,0,-0.016759777,0.035532995,0.266294227
SvS_s3,0,0,189,59,71,19,0,-0.538461538,-0.524193548,0.266272189
SvS_s4,0,0,105,143,103,108,0,0.093681917,0.153225806,0.459694989
SvS_s5,0,0,44,41,23,89,0,0.319796954,-0.035294118,0.568527919